Transaction_ID,Company_Name,Industry_Sector,Transaction_Amount_INR,Cybersecurity_Risk_Level,Forensic_Audit_Conducted,Fraud_Detected,Fraud_Type,Anomaly_Score,Cybersecurity_Breach
50,Company_50,IT Services,3666722,High,No,Yes,Identity Theft,0.46,No
51,Company_51,E-commerce,3266742,High,No,No,None,0.54,Yes
52,Company_52,Banking,3907847,High,Yes,No,None,0.3,No
53,Company_53,Banking,1114145,Low,No,No,None,0.4,No
54,Company_54,Retail,3887430,High,No,No,None,0.98,No
55,Company_55,Banking,1931739,High,No,No,None,0.94,No
56,Company_56,Healthcare,4080671,Low,No,No,None,0.19,No
57,Company_57,Banking,3890104,High,No,No,None,0.43,Yes
58,Company_58,IT Services,2031966,High,No,No,None,0.08,No
59,Company_59,IT Services,1480731,Low,No,No,None,0.83,No
60,Company_60,IT Services,1920948,Medium,Yes,No,None,0.84,No
61,Company_61,IT Services,3641015,Low,No,Yes,Asset Misappropriation,0.03,No
62,Company_62,Healthcare,4564227,High,No,Yes,Corruption,0.47,No
63,Company_63,Manufacturing,3618761,High,No,No,None,0.33,Yes
64,Company_64,E-commerce,4487239,Low,No,No,None,0.75,No
65,Company_65,Retail,4020959,Low,Yes,No,None,0.78,No
66,Company_66,IT Services,3934591,Low,No,No,None,0.29,No
67,Company_67,Banking,3466597,Medium,No,No,None,0.09,No
68,Company_68,IT Services,1643155,High,No,No,None,0.24,No
69,Company_69,Banking,2530003,High,No,No,None,0.13,No
70,Company_70,E-commerce,3269039,High,No,No,None,0.13,No
71,Company_71,E-commerce,321768,Low,Yes,No,None,0.98,No
72,Company_72,E-commerce,2154472,High,No,Yes,Corruption,0.8,No
73,Company_73,Banking,4246299,High,Yes,No,None,0.82,No
74,Company_74,IT Services,1016140,High,Yes,No,None,0.76,No
75,Company_75,E-commerce,3966480,High,Yes,No,None,0.92,No
76,Company_76,Healthcare,2775846,High,Yes,No,None,0.9,No
77,Company_77,Banking,3245973,High,Yes,No,None,0.84,No
78,Company_78,Banking,197884,High,No,No,None,0.7,No
79,Company_79,IT Services,2744022,High,Yes,No,None,0.98,No
80,Company_80,Banking,1467738,High,No,Yes,Financial Statement Fraud,0.79,No
81,Company_81,Banking,1453083,Medium,No,No,None,0.94,No
82,Company_82,E-commerce,1687726,Low,Yes,Yes,Financial Statement Fraud,0.1,No
83,Company_83,IT Services,3801855,High,No,No,None,0.89,No
84,Company_84,E-commerce,1861194,High,No,No,None,0.55,No
85,Company_85,E-commerce,4949035,Medium,Yes,No,None,0.7,No
86,Company_86,IT Services,2838752,Low,No,No,None,0.72,No
87,Company_87,Retail,970570,High,No,No,None,0.8,No
88,Company_88,E-commerce,3360057,Medium,No,No,None,0.19,No
89,Company_89,Healthcare,787238,High,Yes,No,None,0.14,No
90,Company_90,Healthcare,3692334,Medium,Yes,No,None,0.83,No
91,Company_91,Banking,4490981,Low,No,No,None,0.01,No
92,Company_92,Healthcare,2878736,Medium,Yes,No,None,0.02,No
93,Company_93,Banking,2326854,Low,Yes,No,None,0.36,No
94,Company_94,Retail,1648208,Low,Yes,No,None,0.83,No
95,Company_95,IT Services,3039433,High,No,No,None,0.81,No
96,Company_96,IT Services,2614816,High,No,Yes,Identity Theft,0.54,No
97,Company_97,IT Services,44100,High,No,Yes,Asset Misappropriation,0.77,No
98,Company_98,Healthcare,3125103,Low,Yes,No,None,0.03,No
99,Company_99,Retail,1077738,Medium,No,No,None,0.76,No
100,Company_100,Healthcare,3787855,Medium,No,No,None,0.8,No
101,Company_101,Healthcare,3214983,Medium,No,No,None,0.86,No
102,Company_102,Retail,2312890,Low,No,No,None,0.33,No
103,Company_103,Retail,3734897,High,No,Yes,Financial Statement Fraud,0.73,No
104,Company_104,Retail,4078329,High,No,No,None,0.38,No
105,Company_105,Retail,2215226,Low,No,No,None,0.44,No
106,Company_106,IT Services,4294812,High,No,No,None,0.67,Yes
107,Company_107,Manufacturing,4736563,Low,No,Yes,Corruption,0.08,Yes
108,Company_108,Manufacturing,569991,Medium,Yes,Yes,Asset Misappropriation,0.02,No
109,Company_109,Retail,2247309,Low,Yes,No,None,0.72,No
110,Company_110,Manufacturing,720047,Low,Yes,Yes,Financial Statement Fraud,0.18,No
111,Company_111,Manufacturing,996913,Low,No,No,None,0.31,No
112,Company_112,Retail,800957,Medium,No,No,None,0.31,No
113,Company_113,Manufacturing,2713801,High,No,Yes,Financial Statement Fraud,0.12,No
114,Company_114,Healthcare,4958298,High,Yes,No,None,0.04,No
115,Company_115,Banking,734439,High,No,No,None,0.35,No
116,Company_116,Banking,1586557,High,Yes,No,None,0.01,No
117,Company_117,Retail,3953133,Low,No,Yes,Financial Statement Fraud,0.87,No
118,Company_118,IT Services,560882,Medium,No,No,None,0.48,No
119,Company_119,Retail,93497,Low,No,No,None,0.5,No
120,Company_120,IT Services,3866121,Low,Yes,Yes,Corruption,0.41,No
121,Company_121,Banking,2550169,Low,No,No,None,0.91,No
122,Company_122,Retail,578893,Medium,No,No,None,0.73,Yes
123,Company_123,E-commerce,125151,Low,No,No,None,0.81,No
124,Company_124,Healthcare,2112069,High,Yes,No,None,0.63,No
125,Company_125,Manufacturing,1240478,Medium,Yes,Yes,Identity Theft,0.09,No
126,Company_126,IT Services,3216901,Medium,No,No,None,0.7,No
127,Company_127,E-commerce,3829466,High,No,No,None,0.6,No
128,Company_128,Manufacturing,848028,Low,No,No,None,0.35,No
129,Company_129,Manufacturing,3700818,Low,Yes,Yes,Asset Misappropriation,0.86,No
130,Company_130,Retail,1713350,Medium,No,No,None,0.44,No
131,Company_131,Manufacturing,4135007,High,No,No,None,0.77,No
132,Company_132,Healthcare,4563800,Low,No,No,None,0.95,No
133,Company_133,E-commerce,1389381,Medium,No,No,None,0.16,No
134,Company_134,Manufacturing,452363,Medium,No,Yes,Corruption,0.77,No
135,Company_135,Retail,3331826,Low,No,No,None,0.87,No
136,Company_136,Healthcare,4855259,Low,No,No,None,0.28,No
137,Company_137,Banking,4693558,High,No,No,None,0.35,No
138,Company_138,E-commerce,1381311,High,No,No,None,0.16,No
139,Company_139,Manufacturing,3859622,Medium,Yes,No,None,0.64,No
140,Company_140,Retail,332348,Low,No,No,None,0.07,No
141,Company_141,Banking,4825699,High,No,No,None,0.33,No
142,Company_142,Banking,2602386,High,No,Yes,Asset Misappropriation,0.01,No
143,Company_143,IT Services,4231729,Low,No,No,None,0.1,No
144,Company_144,Healthcare,3883985,Low,No,No,None,0.47,No
145,Company_145,Manufacturing,4867546,Low,Yes,No,None,0.78,No
146,Company_146,Retail,3980480,Low,No,No,None,0.72,No
147,Company_147,IT Services,321863,Low,Yes,Yes,Financial Statement Fraud,0.8,No
148,Company_148,Healthcare,1435672,High,No,No,None,0.88,No
149,Company_149,IT Services,2806938,Medium,No,No,None,0.17,No
150,Company_150,E-commerce,501401,High,No,No,None,0.01,No
151,Company_151,Healthcare,3789311,Medium,Yes,Yes,Corruption,0.4,No
152,Company_152,Healthcare,3845688,High,No,No,None,0.29,Yes
153,Company_153,Manufacturing,1153706,Medium,No,No,None,0.64,No
154,Company_154,Healthcare,2246185,High,No,Yes,Asset Misappropriation,0.96,No
155,Company_155,IT Services,4138324,Low,No,Yes,Asset Misappropriation,0.65,No
156,Company_156,Healthcare,3926471,Low,Yes,No,None,0.08,No
157,Company_157,Manufacturing,3153288,Low,No,Yes,Asset Misappropriation,0.29,No
158,Company_158,Manufacturing,358876,Low,Yes,No,None,0.79,No
159,Company_159,E-commerce,3195520,High,Yes,No,None,0.65,No
160,Company_160,IT Services,1253738,Medium,No,No,None,0.41,No
161,Company_161,Banking,4744017,Low,Yes,No,None,0.2,No
162,Company_162,Banking,1586970,Medium,No,No,None,0.89,No
163,Company_163,Healthcare,4942830,Low,No,No,None,0.89,No
164,Company_164,E-commerce,4589732,Low,No,No,None,0.16,No
165,Company_165,Retail,1750784,High,No,No,None,0.84,No
166,Company_166,Healthcare,3439422,Low,Yes,No,None,0.8,No
167,Company_167,E-commerce,3087589,High,Yes,No,None,0.55,No
168,Company_168,IT Services,1110595,Low,No,No,None,0.94,No
169,Company_169,IT Services,2017775,Low,No,No,None,0.58,No
170,Company_170,IT Services,3384025,Low,Yes,No,None,0.2,No
171,Company_171,IT Services,626432,Low,No,Yes,Financial Statement Fraud,0.15,Yes
172,Company_172,IT Services,2088133,Low,No,No,None,0.87,No
173,Company_173,E-commerce,2193830,High,No,No,None,0.35,Yes
174,Company_174,E-commerce,4942080,High,No,No,None,0.41,No
175,Company_175,Manufacturing,3594753,Medium,Yes,No,None,0.54,No
176,Company_176,Banking,942063,High,No,No,None,0.38,No
177,Company_177,IT Services,156844,High,No,No,None,0.82,No
178,Company_178,Retail,4823978,Low,Yes,No,None,0.56,No
179,Company_179,E-commerce,3259059,Low,Yes,No,None,0.77,No
180,Company_180,Retail,4958670,High,No,No,None,0.03,No
181,Company_181,Retail,2106055,Medium,No,No,None,0.27,No
182,Company_182,Retail,4049118,High,Yes,Yes,Corruption,0.89,No
183,Company_183,Manufacturing,1118370,Medium,No,No,None,0.37,No
184,Company_184,E-commerce,468076,Low,No,No,None,0.66,No
185,Company_185,Retail,3708724,High,No,Yes,Financial Statement Fraud,0.65,No
186,Company_186,IT Services,2178182,Medium,Yes,No,None,0.03,No
187,Company_187,Healthcare,1794420,Medium,No,No,None,0.54,No
188,Company_188,Retail,2691165,Medium,Yes,No,None,0.94,No
189,Company_189,Manufacturing,4935787,Low,Yes,No,None,0.8,No
190,Company_190,E-commerce,48507,High,No,Yes,Corruption,0.71,No
191,Company_191,Manufacturing,1636676,Low,No,No,None,0.33,No
192,Company_192,Retail,1255431,Medium,No,No,None,0.66,No
193,Company_193,E-commerce,2698312,Low,No,No,None,0.49,No
194,Company_194,Healthcare,1471335,High,Yes,No,None,0.53,Yes
195,Company_195,Retail,4190522,High,Yes,No,None,0.54,No
196,Company_196,Manufacturing,3353962,High,No,No,None,0.3,No
197,Company_197,Banking,1913586,Low,No,Yes,Asset Misappropriation,0.22,No
198,Company_198,IT Services,461984,Medium,No,Yes,Corruption,0.15,No
199,Company_199,Manufacturing,3443557,Low,No,No,None,0.56,No
200,Company_200,E-commerce,687130,High,Yes,No,None,0.19,No
201,Company_201,Retail,3804867,Low,No,Yes,Financial Statement Fraud,0.96,No
202,Company_202,IT Services,407604,High,No,Yes,Financial Statement Fraud,0.49,No
203,Company_203,Retail,3740102,Medium,No,No,None,0.95,No
204,Company_204,E-commerce,2080594,Low,No,No,None,0.6,No
205,Company_205,Retail,4180405,High,No,No,None,0.25,No
206,Company_206,Banking,4461942,Medium,Yes,No,None,0.06,No
207,Company_207,IT Services,1574926,Medium,No,No,None,0.34,No
208,Company_208,IT Services,2351762,Medium,No,No,None,0.1,No
209,Company_209,E-commerce,4316386,Medium,Yes,Yes,Asset Misappropriation,0.58,No
210,Company_210,Banking,3357737,Low,Yes,No,None,0.73,No
211,Company_211,Manufacturing,4474214,High,No,No,None,0.57,No
212,Company_212,Retail,3399333,High,No,No,None,0.17,No
213,Company_213,Healthcare,1594151,Medium,No,No,None,0.73,No
214,Company_214,Retail,1390043,High,Yes,No,None,0.72,No
215,Company_215,Retail,1551209,Low,No,No,None,0.45,No
216,Company_216,Manufacturing,1136346,Medium,No,No,None,0.19,No
217,Company_217,Retail,1411677,Medium,No,Yes,Financial Statement Fraud,0.05,No
218,Company_218,Banking,2702277,High,No,No,None,0.49,No
219,Company_219,Banking,3710608,High,No,No,None,0.28,No
220,Company_220,IT Services,2644313,Low,No,No,None,0.88,No
221,Company_221,E-commerce,4647323,High,Yes,No,None,0.6,No
222,Company_222,Healthcare,2303012,High,No,Yes,Asset Misappropriation,0.35,No
223,Company_223,Retail,3093429,High,No,Yes,Financial Statement Fraud,0.66,No
224,Company_224,Retail,4234265,High,No,Yes,Asset Misappropriation,0,No
225,Company_225,Manufacturing,4266155,Low,No,No,None,0.52,No
226,Company_226,E-commerce,1892697,Low,No,Yes,Financial Statement Fraud,0.51,Yes
227,Company_227,Banking,19647,Medium,No,No,None,0.13,No
228,Company_228,Healthcare,3234059,High,No,No,None,0.09,No
229,Company_229,IT Services,1143085,Low,No,No,None,0.79,No
230,Company_230,Banking,4129523,Medium,Yes,No,None,0.96,No
231,Company_231,E-commerce,404980,High,No,No,None,0.27,No
232,Company_232,IT Services,2282230,Medium,No,Yes,Corruption,0.89,No
233,Company_233,Manufacturing,1719239,Low,No,No,None,0.73,No
234,Company_234,Manufacturing,2585610,Low,No,No,None,0.85,No
235,Company_235,Retail,4677497,Medium,No,Yes,Asset Misappropriation,0.16,No
236,Company_236,E-commerce,4907962,High,No,No,None,0.01,No
237,Company_237,Healthcare,904960,Medium,No,No,None,0.19,No
238,Company_238,IT Services,3886847,High,No,No,None,0.54,No
239,Company_239,Banking,2797707,High,No,No,None,0.23,No
240,Company_240,E-commerce,805233,Medium,Yes,No,None,0.39,No
241,Company_241,E-commerce,2752812,Medium,No,Yes,Asset Misappropriation,0.42,No
242,Company_242,Manufacturing,2569595,Medium,Yes,No,None,0.78,No
243,Company_243,Retail,3602903,Low,No,No,None,0.47,No
244,Company_244,Retail,1959417,High,Yes,No,None,0.73,No
245,Company_245,IT Services,2794959,Low,Yes,No,None,0.76,No
246,Company_246,Manufacturing,1735880,Low,No,No,None,0.6,No
247,Company_247,E-commerce,2458355,High,No,No,None,0.01,No
248,Company_248,Healthcare,3785544,High,Yes,No,None,0.19,No
249,Company_249,Manufacturing,3145900,Low,No,No,None,0.54,No
250,Company_250,IT Services,3888432,High,No,No,None,0.24,No
251,Company_251,IT Services,2851912,Low,Yes,Yes,Financial Statement Fraud,0.94,No
252,Company_252,Manufacturing,424069,Medium,Yes,Yes,Asset Misappropriation,0.08,No
253,Company_253,IT Services,846293,High,No,Yes,Corruption,0.56,No
254,Company_254,Manufacturing,4429816,Medium,No,No,None,0.52,No
255,Company_255,Banking,2234890,Low,Yes,No,None,0.03,No
256,Company_256,Manufacturing,1498423,Medium,Yes,No,None,0.83,Yes
257,Company_257,Manufacturing,2637178,Medium,Yes,Yes,Asset Misappropriation,0.18,No
258,Company_258,IT Services,3410789,Low,No,No,None,0.73,Yes
259,Company_259,IT Services,2330285,Low,No,No,None,0.85,No
260,Company_260,Retail,2584465,High,No,Yes,Identity Theft,0.05,No
261,Company_261,Retail,1034659,Medium,No,No,None,0.79,No
262,Company_262,Banking,971762,Low,No,No,None,0.55,No
263,Company_263,Retail,157488,Low,No,No,None,0.74,Yes
264,Company_264,Manufacturing,3424501,Low,Yes,No,None,0.56,No
265,Company_265,IT Services,4541002,High,Yes,No,None,0.43,No
266,Company_266,Retail,3375803,High,Yes,Yes,Identity Theft,0.1,No
267,Company_267,Retail,63394,Low,No,No,None,0.9,No
268,Company_268,Banking,2811247,Medium,Yes,Yes,Asset Misappropriation,0.56,No
269,Company_269,E-commerce,4702258,High,No,Yes,Asset Misappropriation,0.51,No
270,Company_270,Banking,1967529,Low,No,No,None,0.5,No
271,Company_271,Manufacturing,4726764,High,Yes,No,None,0.81,No
272,Company_272,IT Services,2166756,Low,No,No,None,0.55,No
273,Company_273,Banking,800901,Medium,No,Yes,Financial Statement Fraud,0.78,No
274,Company_274,Retail,2204112,Medium,No,No,None,0.42,No
275,Company_275,IT Services,2809010,High,No,No,None,0.26,No
276,Company_276,IT Services,1467136,Medium,Yes,No,None,0.11,No
277,Company_277,Retail,4818688,Medium,No,No,None,0.95,No
278,Company_278,Banking,4001074,Medium,No,No,None,0.55,No
279,Company_279,Retail,2149727,Low,No,No,None,0.32,No
280,Company_280,E-commerce,4447835,Low,Yes,Yes,Corruption,0.94,No
281,Company_281,IT Services,494896,Medium,No,No,None,0.64,Yes
282,Company_282,Healthcare,519951,High,No,No,None,1,No
283,Company_283,Healthcare,1098355,Medium,No,No,None,0.74,Yes
284,Company_284,Manufacturing,4294185,Medium,No,No,None,0.81,No
285,Company_285,Retail,4200623,Medium,Yes,No,None,0.09,Yes
286,Company_286,Retail,3780616,Low,No,No,None,0.74,No
287,Company_287,Manufacturing,3779043,Low,No,No,None,0.52,No
288,Company_288,Manufacturing,3462162,Low,No,No,None,0.21,No
289,Company_289,Manufacturing,3003004,Medium,No,No,None,0.05,No
290,Company_290,IT Services,560826,Medium,Yes,No,None,0.05,No
291,Company_291,E-commerce,4283785,Low,Yes,No,None,0.98,No
292,Company_292,Retail,2381573,High,No,No,None,0.64,No
293,Company_293,IT Services,2046203,Medium,No,Yes,Corruption,0.95,No
294,Company_294,Manufacturing,2461753,High,No,No,None,0.43,No
295,Company_295,Retail,2750652,Medium,Yes,Yes,Corruption,0.31,Yes
296,Company_296,IT Services,911243,High,No,No,None,0.21,No
297,Company_297,E-commerce,3473580,High,Yes,Yes,Financial Statement Fraud,0.6,No
298,Company_298,IT Services,1617648,Medium,No,No,None,0.31,No
299,Company_299,E-commerce,2555878,Medium,No,Yes,Financial Statement Fraud,0.5,No
300,Company_300,Manufacturing,4389142,Medium,No,No,None,0.84,No
301,Company_301,E-commerce,4859481,Low,Yes,No,None,0.29,No
302,Company_302,Retail,109515,High,No,No,None,0.52,No
303,Company_303,Manufacturing,113364,Medium,No,No,None,0.69,Yes
304,Company_304,Retail,1737007,High,No,No,None,0.09,No
305,Company_305,Healthcare,3095324,High,No,No,None,0.76,No
306,Company_306,Banking,2767884,High,No,No,None,0.06,No
307,Company_307,E-commerce,700742,High,No,No,None,0.39,No
308,Company_308,Banking,101983,Medium,No,No,None,0.88,No
309,Company_309,Banking,1326989,High,No,No,None,0.78,No
310,Company_310,E-commerce,1058067,Medium,Yes,No,None,0.68,No
311,Company_311,Manufacturing,3669344,Medium,No,No,None,0.79,No
312,Company_312,Healthcare,2966738,High,Yes,No,None,0.23,Yes
313,Company_313,Retail,3810166,High,No,No,None,0.5,No
314,Company_314,IT Services,1029976,High,No,No,None,0.21,No
315,Company_315,Retail,4357990,Medium,Yes,No,None,0.45,No
316,Company_316,IT Services,2572682,Low,Yes,No,None,0.73,No
317,Company_317,Retail,641080,Low,No,No,None,0.6,No
318,Company_318,E-commerce,957711,Medium,Yes,No,None,0.13,No
319,Company_319,Healthcare,4076051,Medium,No,No,None,0.43,No
320,Company_320,IT Services,2611028,Medium,Yes,No,None,0.03,Yes
321,Company_321,Manufacturing,1500908,Low,No,No,None,0.03,No
322,Company_322,Retail,484012,Medium,No,No,None,0.48,No
323,Company_323,Retail,4419708,Low,No,No,None,0.17,No
324,Company_324,IT Services,1189726,Low,No,No,None,0.85,No
325,Company_325,Manufacturing,3616629,Low,No,Yes,Financial Statement Fraud,0.14,No
326,Company_326,Manufacturing,4107657,High,Yes,No,None,0.43,No
327,Company_327,E-commerce,937308,Medium,No,Yes,Identity Theft,0.53,No
328,Company_328,E-commerce,663635,Medium,No,No,None,0.83,No
329,Company_329,E-commerce,1247200,Low,No,No,None,0.66,No
330,Company_330,E-commerce,2099491,High,Yes,No,None,0.24,No
331,Company_331,E-commerce,3666340,Low,No,No,None,0.96,No
332,Company_332,E-commerce,4247957,Low,Yes,No,None,1,No
333,Company_333,Healthcare,4303484,Low,No,No,None,0.67,Yes
334,Company_334,Manufacturing,4596930,Medium,No,No,None,0.58,No
335,Company_335,E-commerce,162441,High,No,No,None,0.99,No
336,Company_336,Manufacturing,1751965,Medium,Yes,No,None,0.34,No
337,Company_337,Manufacturing,4128321,Low,Yes,Yes,Financial Statement Fraud,0.58,No
338,Company_338,Banking,1754756,Low,No,No,None,0.18,No
339,Company_339,Healthcare,1309584,High,Yes,No,None,0.15,No
340,Company_340,E-commerce,25411,Low,No,Yes,Financial Statement Fraud,0.43,No
341,Company_341,Retail,2569281,Medium,No,No,None,0.44,No
342,Company_342,IT Services,3071624,High,Yes,No,None,0.69,No
343,Company_343,Retail,3237798,High,Yes,No,None,0.74,No
344,Company_344,Healthcare,4755417,Low,No,Yes,Identity Theft,0.75,No
345,Company_345,IT Services,564489,Low,No,Yes,Identity Theft,0.83,No
346,Company_346,Healthcare,3541086,High,Yes,Yes,Corruption,0.5,No
347,Company_347,Manufacturing,1287192,Low,No,No,None,0.23,No
348,Company_348,IT Services,4767219,High,No,No,None,0.45,No
349,Company_349,Manufacturing,4455653,Medium,No,Yes,Identity Theft,0.89,No
350,Company_350,Retail,1514621,Medium,No,Yes,Corruption,0.69,No
351,Company_351,Retail,1225148,Medium,No,No,None,0.9,No
352,Company_352,IT Services,1823359,High,Yes,No,None,0.69,No
353,Company_353,IT Services,2830761,High,No,No,None,0.56,No
354,Company_354,E-commerce,4334562,High,Yes,No,None,0.55,No
355,Company_355,Healthcare,545969,Low,No,No,None,0.73,No
356,Company_356,E-commerce,3973469,Medium,No,No,None,0.65,No
357,Company_357,Healthcare,572041,Low,Yes,No,None,0.53,No
358,Company_358,E-commerce,3978856,High,No,Yes,Financial Statement Fraud,0.93,No
359,Company_359,Manufacturing,394677,High,No,No,None,0.4,No
360,Company_360,IT Services,739309,High,No,Yes,Corruption,0.75,No
361,Company_361,Retail,957454,High,No,No,None,0.45,No
362,Company_362,Healthcare,1081250,Low,No,No,None,0.61,No
363,Company_363,Healthcare,1263227,Medium,No,Yes,Financial Statement Fraud,0.34,Yes
364,Company_364,Retail,3514171,Medium,Yes,No,None,0.92,No
365,Company_365,E-commerce,2052796,High,No,No,None,0.22,No
366,Company_366,Healthcare,2655143,Medium,No,Yes,Asset Misappropriation,0.49,No
367,Company_367,Manufacturing,4530781,Medium,No,No,None,0.6,No
368,Company_368,IT Services,3780702,Medium,No,Yes,Asset Misappropriation,0.91,No
369,Company_369,Retail,3410497,Low,No,No,None,0.53,No
370,Company_370,IT Services,1415427,Low,No,No,None,0.77,No
371,Company_371,Healthcare,4966626,High,No,No,None,0.31,No
372,Company_372,Healthcare,2072305,High,Yes,No,None,0.17,Yes
373,Company_373,Retail,3914319,High,No,No,None,0.06,No
374,Company_374,Manufacturing,547483,Low,No,No,None,0.57,No
375,Company_375,Banking,3222871,Medium,No,Yes,Identity Theft,0.57,Yes
376,Company_376,Retail,4071470,Medium,No,Yes,Identity Theft,0.17,No
377,Company_377,Banking,3928254,Medium,No,No,None,0.23,No
378,Company_378,E-commerce,2490239,Medium,No,No,None,0.09,No
379,Company_379,Banking,174918,Low,No,No,None,0.29,No
380,Company_380,Manufacturing,4247577,Medium,No,No,None,0.2,No
381,Company_381,E-commerce,1481430,Medium,No,No,None,0.43,No
382,Company_382,Banking,717757,High,No,Yes,Corruption,0.99,No
383,Company_383,E-commerce,3023757,High,No,No,None,0.55,No
384,Company_384,Banking,1638188,High,No,No,None,0.24,Yes
385,Company_385,Manufacturing,3888458,High,No,Yes,Identity Theft,0.56,No
386,Company_386,Banking,3677143,Medium,No,No,None,0.72,No
387,Company_387,Banking,2039800,Low,No,No,None,0.24,Yes
388,Company_388,Banking,3230046,High,Yes,No,None,0.15,No
389,Company_389,Retail,1458382,Low,No,Yes,Financial Statement Fraud,0.26,No
390,Company_390,Retail,1608541,High,No,No,None,0.32,No
391,Company_391,Retail,2181916,Low,No,No,None,0.38,No
392,Company_392,Manufacturing,3558371,High,Yes,Yes,Asset Misappropriation,0.61,No
393,Company_393,E-commerce,3423085,High,Yes,No,None,1,No
394,Company_394,Healthcare,4773701,Medium,No,No,None,0.79,No
395,Company_395,Banking,2627180,Medium,No,No,None,0.16,No
396,Company_396,Banking,2299753,High,No,No,None,0.85,No
397,Company_397,Manufacturing,3888805,Medium,No,Yes,Asset Misappropriation,0.88,No
398,Company_398,Banking,1389642,Low,Yes,Yes,Corruption,0.19,No
399,Company_399,Retail,2342278,Medium,Yes,No,None,0.21,No
400,Company_400,Healthcare,2568248,High,No,No,None,0.69,No
401,Company_401,IT Services,2230950,High,No,No,None,0.25,No
402,Company_402,Banking,4292701,Medium,Yes,No,None,0.86,No
403,Company_403,Retail,1473017,Low,Yes,No,None,0.97,No
404,Company_404,IT Services,3038388,Low,Yes,Yes,Financial Statement Fraud,0.67,No
405,Company_405,Healthcare,4271454,Medium,No,No,None,0.15,No
406,Company_406,IT Services,1016101,Medium,No,No,None,0.92,No
407,Company_407,Retail,3905254,Low,Yes,No,None,0.41,No
408,Company_408,E-commerce,499051,Medium,No,No,None,1,No
409,Company_409,E-commerce,690085,Low,No,No,None,0.59,No
410,Company_410,IT Services,3730709,Low,No,No,None,0.72,No
